WARNING 2019-10-18 20:28:22,990 log 228 Not Found: /images/ui.png
WARNING 2019-10-18 20:28:23,002 log 228 Not Found: /images/youxi.png
WARNING 2019-10-18 20:28:23,003 basehttp 154 "GET /images/ui.png HTTP/1.1" 404 2044
WARNING 2019-10-18 20:28:23,005 basehttp 154 "GET /images/youxi.png HTTP/1.1" 404 2053
WARNING 2019-10-18 20:28:23,226 log 228 Not Found: /js/commons.js
WARNING 2019-10-18 20:28:23,236 log 228 Not Found: /js/index.js
WARNING 2019-10-18 20:28:23,244 basehttp 154 "GET /js/commons.js HTTP/1.1" 404 2044
WARNING 2019-10-18 20:28:23,255 log 228 Not Found: /images/zimeiti.png
WARNING 2019-10-18 20:28:23,262 log 228 Not Found: /images/python_gui.jpg
WARNING 2019-10-18 20:28:23,268 log 228 Not Found: /images/dianshang.png
WARNING 2019-10-18 20:28:23,277 log 228 Not Found: /images/python_advanced.jpg
WARNING 2019-10-18 20:28:23,280 basehttp 154 "GET /js/index.js HTTP/1.1" 404 2038
WARNING 2019-10-18 20:28:23,283 log 228 Not Found: /images/linux.jpg
WARNING 2019-10-18 20:28:23,285 basehttp 154 "GET /images/python_gui.jpg HTTP/1.1" 404 2068
WARNING 2019-10-18 20:28:23,286 basehttp 154 "GET /images/zimeiti.png HTTP/1.1" 404 2059
WARNING 2019-10-18 20:28:23,287 basehttp 154 "GET /images/dianshang.png HTTP/1.1" 404 2065
WARNING 2019-10-18 20:28:23,297 log 228 Not Found: /images/jichujiaochen.jpeg
WARNING 2019-10-18 20:28:23,298 basehttp 154 "GET /images/python_advanced.jpg HTTP/1.1" 404 2083
WARNING 2019-10-18 20:28:23,300 basehttp 154 "GET /images/linux.jpg HTTP/1.1" 404 2053
WARNING 2019-10-18 20:28:23,305 basehttp 154 "GET /images/jichujiaochen.jpeg HTTP/1.1" 404 2080
WARNING 2019-10-18 20:28:23,320 log 228 Not Found: /images/english.jpg
WARNING 2019-10-18 20:28:23,322 basehttp 154 "GET /images/english.jpg HTTP/1.1" 404 2059
WARNING 2019-10-18 20:28:23,335 log 228 Not Found: /images/python_web.jpg
WARNING 2019-10-18 20:28:23,337 basehttp 154 "GET /images/python_web.jpg HTTP/1.1" 404 2068
WARNING 2019-10-18 20:28:23,387 log 228 Not Found: /js/commons.js
WARNING 2019-10-18 20:28:23,389 basehttp 154 "GET /js/commons.js HTTP/1.1" 404 2044
INFO 2019-10-18 20:28:23,407 basehttp 154 "GET /static/images/wechat.jpg HTTP/1.1" 200 41182
WARNING 2019-10-18 20:28:23,572 log 228 Not Found: /js/index.js
WARNING 2019-10-18 20:28:23,577 basehttp 154 "GET /js/index.js HTTP/1.1" 404 2038
INFO 2019-10-18 20:34:25,823 basehttp 154 "GET /index/ HTTP/1.1" 200 16976
INFO 2019-10-18 20:34:25,917 basehttp 154 "GET /static/images/ui.png HTTP/1.1" 200 108619
INFO 2019-10-18 20:34:25,923 basehttp 154 "GET /static/images/youxi.png HTTP/1.1" 200 447834
WARNING 2019-10-18 20:34:26,238 log 228 Not Found: /js/index.js
WARNING 2019-10-18 20:34:26,248 log 228 Not Found: /js/commons.js
WARNING 2019-10-18 20:34:26,251 basehttp 154 "GET /js/index.js HTTP/1.1" 404 2038
WARNING 2019-10-18 20:34:26,258 basehttp 154 "GET /js/commons.js HTTP/1.1" 404 2044
INFO 2019-10-18 20:34:26,269 basehttp 154 "GET /static/images/python_advanced.jpg HTTP/1.1" 200 120059
INFO 2019-10-18 20:34:26,285 basehttp 154 "GET /static/images/zimeiti.png HTTP/1.1" 200 112767
INFO 2019-10-18 20:34:26,286 basehttp 154 "GET /static/images/linux.jpg HTTP/1.1" 200 62189
INFO 2019-10-18 20:34:26,294 basehttp 154 "GET /static/images/dianshang.png HTTP/1.1" 200 342554
INFO 2019-10-18 20:34:26,305 basehttp 154 "GET /static/images/python_gui.jpg HTTP/1.1" 200 24129
INFO 2019-10-18 20:34:26,307 basehttp 154 "GET /static/images/jichujiaochen.jpeg HTTP/1.1" 200 11286
INFO 2019-10-18 20:34:26,316 basehttp 154 "GET /static/images/english.jpg HTTP/1.1" 200 137605
